Wall time,Step,Value
1652863088.881595,14995,-1.109595537185669
1652863207.815663,15020,-1.2477705478668213
1652863336.2220995,15048,-1.1103118658065796
1652864046.9794393,15205,-0.32972705364227295
1652864346.297326,15270,-0.7957282066345215
1652864558.593674,15316,-0.7167329788208008
1652864597.212287,15324,-0.7729411721229553
1652864639.01121,15333,-0.7462214231491089
1652864729.9741237,15353,-0.7572520971298218
1652864768.6010983,15361,-0.9720674157142639
1652864842.5618775,15376,-1.016960620880127
1652864906.9213123,15388,-1.2186107635498047
1652865041.8470898,15414,-1.5052838325500488
1652865186.4033036,15443,-1.5387136936187744
1652865366.8066576,15479,-1.5790073871612549
1652865453.5389068,15498,-1.3234057426452637
1652865755.737677,15564,-0.7303293347358704
1652865816.953754,15575,-0.7756631970405579
1652865849.1764946,15581,-0.8205764889717102
1652866045.2282686,15622,-0.8269569873809814
1652866212.6814513,15658,-0.9141926765441895
1652866431.2150757,15706,-0.5213837027549744
1652866495.5059786,15718,-0.5142694115638733
1652866530.903231,15725,-0.6466442346572876
1652866958.4834273,15818,-0.7088649272918701
1652867003.475618,15828,-0.5920390486717224
1652867177.0294743,15866,-0.5719895958900452
1652867270.2032998,15883,-0.8283078670501709
1652867369.871177,15902,-1.3476899862289429
1652867398.8172195,15907,-1.4095358848571777
1652867551.0701501,15942,-0.9507054686546326
1652867603.5237758,15954,-0.644067645072937
1652867720.7918427,15982,0.38333016633987427
1652867935.4385555,16028,0.8272802829742432
1652867990.2570124,16041,0.9041592478752136
1652868295.8014045,16108,-0.01873547025024891
1652868331.1193,16115,-0.0014975500525906682
1652868498.3884149,16151,-0.7181693315505981
1652868601.2742765,16175,-0.6818386316299438
1652868681.6580677,16192,-0.6434083580970764
1652868852.2251828,16229,-0.5891772508621216
1652869244.2659678,16311,-0.8999346494674683
1652869324.424984,16328,-1.1833631992340088
1652869401.5503297,16344,-0.9635618329048157
1652869433.7285852,16350,-0.9711189270019531
1652869594.5278478,16384,-1.1529439687728882
1652869733.6205037,16415,-0.6071837544441223
1652870096.8968134,16496,-0.01496386993676424
1652870251.4347868,16528,-0.4192284941673279
1652870836.6217625,16654,-0.19791585206985474
1652871016.6952958,16694,0.3092338442802429
1652871090.6807184,16709,0.2678546905517578
1652871283.615084,16749,0.008619559928774834
1652871325.2862263,16758,-0.6150521039962769
1652871399.437793,16773,-0.7374162077903748
1652871486.0917633,16792,-0.7804624438285828
1652871540.7943883,16805,-0.6053740382194519
1652871614.681914,16820,-0.7164254784584045
1652871698.343061,16838,-0.7256807684898376
1652871730.4160426,16844,-0.8893070220947266
1652872112.8191626,16935,2.721285343170166
1652872234.9560437,16961,3.0726144313812256
1652872463.0648592,17012,0.8608244061470032
1652872953.2028959,17116,-0.5037744641304016
1652873114.0918021,17150,-1.179334282875061
1652873265.3396704,17185,-0.7016604542732239
1652873721.7604775,17287,1.0125272274017334
1652874020.650021,17356,0.2723453640937805
1652874072.1275704,17368,0.5576134324073792
1652874168.6357508,17390,0.6518007516860962
1652874297.208089,17418,0.10452824831008911
1652874445.1561115,17452,-0.09050281345844269
1652874490.2461774,17462,-0.1298111528158188
1652874551.4891922,17477,-0.029796700924634933
1652874992.5659792,17574,0.8728276491165161
1652875034.5040562,17583,0.8437539935112
1652875067.1684158,17589,0.7713192105293274
1652875160.9122326,17610,1.3036830425262451
1652875728.9229383,17738,-0.14529651403427124
1652875754.6748977,17742,-0.12213768810033798
1652875793.244516,17750,-0.30730873346328735
1652875834.9813616,17759,-0.6125369668006897
1652876162.9639206,17829,-1.2176616191864014
1652876571.4082677,17920,0.24910250306129456
1652877378.2460532,18103,0.11239244043827057
1652877970.3190954,18231,-0.8464328646659851
1652878124.5917196,18263,-1.122693657875061
1652878156.7250564,18269,-1.2343456745147705
1652878263.4124894,18294,-0.9016603231430054
1652878604.6632307,18368,-0.5141757130622864
